original_filename,original_path,new_filename,new_path,description
unnamed.jpg,NEW/phase2/unnamed.jpg,services-bulk-fuel-delivery-truck-storage-tank-01.jpg,assets_renamed/services/services-bulk-fuel-delivery-truck-storage-tank-01.jpg,Bulk fuel delivery: Truck delivering to commercial storage tank
unnamed (1).jpg,NEW/phase2/unnamed (1).jpg,services-bulk-delivery-aerial-facility-tanks-01.jpg,assets_renamed/services/services-bulk-delivery-aerial-facility-tanks-01.jpg,Bulk delivery: Aerial view of facility with storage tanks
unnamed (2).jpg,NEW/phase2/unnamed (2).jpg,services-fleet-fueling-yard-morning-operations-01.jpg,assets_renamed/services/services-fleet-fueling-yard-morning-operations-01.jpg,Fleet fueling: Fleet yard during early morning operations
unnamed (3).jpg,NEW/phase2/unnamed (3).jpg,services-fleet-fueling-manager-monitoring-tablet-01.jpg,assets_renamed/services/services-fleet-fueling-manager-monitoring-tablet-01.jpg,Fleet fueling: Manager checking fuel levels on tablet
unnamed (4).jpg,NEW/phase2/unnamed (4).jpg,services-jobsite-fueling-remote-mining-equipment-01.jpg,assets_renamed/services/services-jobsite-fueling-remote-mining-equipment-01.jpg,Jobsite fueling: Remote mining site with heavy equipment
unnamed (5).jpg,NEW/phase2/unnamed (5).jpg,services-jobsite-fueling-aerial-multiple-tanks-01.jpg,assets_renamed/services/services-jobsite-fueling-aerial-multiple-tanks-01.jpg,Jobsite fueling: Aerial view with multiple FuelCube tanks
unnamed (6).jpg,NEW/phase2/unnamed (6).jpg,services-generator-fueling-data-center-backup-01.jpg,assets_renamed/services/services-generator-fueling-data-center-backup-01.jpg,Generator fueling: Data center backup power system
unnamed (7).jpg,NEW/phase2/unnamed (7).jpg,services-generator-fueling-hospital-critical-power-01.jpg,assets_renamed/services/services-generator-fueling-hospital-critical-power-01.jpg,Generator fueling: Hospital critical power infrastructure
unnamed (8).jpg,NEW/phase2/unnamed (8).jpg,services-monitoring-technician-equipment-check-01.jpg,assets_renamed/services/services-monitoring-technician-equipment-check-01.jpg,Monitoring: Technician checking monitoring equipment
unnamed (9).jpg,NEW/phase2/unnamed (9).jpg,services-monitoring-aerial-multi-site-infrastructure-01.jpg,assets_renamed/services/services-monitoring-aerial-multi-site-infrastructure-01.jpg,Monitoring: Aerial view of multi-site monitoring infrastructure
unnamed (10).jpg,NEW/phase2/unnamed (10).jpg,services-fuelcube-placement-crane-installation-01.jpg,assets_renamed/services/services-fuelcube-placement-crane-installation-01.jpg,FuelCube placement: Crane installation in progress
unnamed (11).jpg,NEW/phase2/unnamed (11).jpg,services-fuelcube-placement-completed-fleet-yard-01.jpg,assets_renamed/services/services-fuelcube-placement-completed-fleet-yard-01.jpg,FuelCube placement: Completed installation at fleet yard
unnamed (12).jpg,NEW/phase2/unnamed (12).jpg,programs-tier-elite-high-volume-multi-shift-01.jpg,assets_renamed/programs/programs-tier-elite-high-volume-multi-shift-01.jpg,OnSite Elite: High-volume multi-shift operations
unnamed (13).jpg,NEW/phase2/unnamed (13).jpg,programs-tier-elite-monitoring-hourly-updates-01.jpg,assets_renamed/programs/programs-tier-elite-monitoring-hourly-updates-01.jpg,OnSite Elite: Monitoring dashboard with hourly updates
unnamed (14).jpg,NEW/phase2/unnamed (14).jpg,programs-tier-advantage-standard-commercial-facility-01.jpg,assets_renamed/programs/programs-tier-advantage-standard-commercial-facility-01.jpg,OnSite Advantage: Standard commercial facility operations
